method,dataset,mean,std,num_samples,rank
FullyFactorized,adult,0.07644535,0.001960117109149,20,10
FullyFactorized,beijing,0.4386505499999999,0.0028614378144194,20,8
FullyFactorized,default,0.0656075,0.0014443538529846,20,9
FullyFactorized,diabetes,0.096066,0.0009008363949831,20,6
FullyFactorized,magic,0.0190373,0.0011097247216741,20,11
FullyFactorized,news,0.01737265,0.0006772200353768,20,9
FullyFactorized,shoppers,0.2333622,0.0022808200648935,20,8
ShallowMixture,adult,0.42261515,0.0020747552113061,20,5
ShallowMixture,beijing,0.50433455,0.0013833037294443,20,5
ShallowMixture,default,0.31167275,0.0028791961574644,20,6
ShallowMixture,diabetes,0.1250539,0.001382115080135,20,4
ShallowMixture,magic,0.4283895999999999,0.0043666370945831,20,7
ShallowMixture,news,0.0473714499999999,0.00174727217399,20,8
ShallowMixture,shoppers,0.30274345,0.0049809443881023,20,6
SimpleFactors,adult,0.0495735499999999,0.0014047154600431,20,11
SimpleFactors,beijing,0.4340943500000001,0.0024506515197091,20,9
SimpleFactors,default,0.0505815499999999,0.0008508341093179,20,10
SimpleFactors,diabetes,0.09423585,0.0010159719367757,20,7
SimpleFactors,magic,0.00959565,0.0008736298912251,20,12
SimpleFactors,news,0.0086729,0.000426320228047,20,10
SimpleFactors,shoppers,0.1282304,0.0025670390971537,20,11
TabDiff,adult,0.51406315,0.003012870693943,20,1
TabDiff,beijing,0.59108215,0.0033841486261221,20,2
TabDiff,default,0.51670615,0.0032253011980931,20,1
TabDiff,diabetes,0.4336290000000001,0.0016146632694417,20,2
TabDiff,magic,0.4761853000000001,0.002669814602276,20,4
TabDiff,news,0.36205895,0.0024881081055164,20,4
TabDiff,shoppers,0.4997952500000001,0.0063155035293274,20,2
TabPC,adult,0.4836575499999999,0.0037036300468168,20,3
TabPC,beijing,0.5630376,0.0025281856069438,20,3
TabPC,default,0.4591956,0.003641534847026,20,3
TabPC,diabetes,0.46469505,0.0018355718017755,20,1
TabPC,magic,0.4978758499999999,0.0035007055270105,20,2
TabPC,news,0.34592265,0.0032042389731991,20,5
TabPC,shoppers,0.4956616,0.0047204017937816,20,3
CoDi,adult,0.0902763999999999,0.0014735222535065,20,9
CoDi,beijing,0.5397711000000001,0.0027551962562631,20,4
CoDi,default,0.18564875,0.0023027643770728,20,7
CoDi,diabetes,0.0135556,0.0005129030276665,20,9
CoDi,magic,0.5061756999999999,0.0033636678148148,20,1
CoDi,news,0.3662736,0.0022787437074428,20,3
CoDi,shoppers,0.1860224,0.0034682843991928,20,10
CTGAN,adult,0.11949645,0.0018609240623382,20,7
CTGAN,beijing,0.37230785,0.0023151494273702,20,10
CTGAN,default,0.1238035,0.001803368179123,20,8
CTGAN,diabetes,0.09982855,0.001283497051644,20,5
CTGAN,magic,0.1549529,0.0034107346006087,20,10
CTGAN,news,0.2515315999999999,0.0022565011434799,20,7
CTGAN,shoppers,0.22024605,0.0041603105333869,20,9
GReaT,adult,0.4836494,0.0024117137843819,10,4
GReaT,beijing,0.6043864999999999,0.0051668292501301,2,1
GReaT,default,,,0,12
GReaT,diabetes,,,0,12
GReaT,magic,0.3977010499999999,0.004327077967198,20,8
GReaT,news,,,0,12
GReaT,shoppers,,,0,12
STaSy,adult,0.3591414999999999,0.0020651223106379,20,6
STaSy,beijing,0.4964593,0.002246703927277,20,6
STaSy,default,0.38294245,0.0023935580314669,20,4
STaSy,diabetes,0.0,0.0,19,11
STaSy,magic,0.44524065,0.0032780368206242,20,6
STaSy,news,0.39650185,0.0030843227572763,20,1
STaSy,shoppers,0.335521,0.0051853223520565,20,5
TabDDPM,adult,0.0089139,0.0004099867648698,20,12
TabDDPM,beijing,0.02159775,0.0007389976764438,20,12
TabDDPM,default,5e-05,3.666634768601284e-05,20,11
TabDDPM,diabetes,3.475e-05,6.796864602230402e-06,20,10
TabDDPM,magic,0.47462445,0.003634531193616,20,5
TabDDPM,news,0.0,0.0,20,11
TabDDPM,shoppers,0.5322192,0.0062476883607164,20,1
TabSyn,adult,0.4849844000000001,0.0024604985673639,20,2
TabSyn,beijing,0.4944707499999999,0.0018447284745286,20,7
TabSyn,default,0.46645195,0.0030769015938799,20,2
TabSyn,diabetes,0.3529824,0.0018591603481141,20,3
TabSyn,magic,0.4769841499999999,0.0030449397068613,20,3
TabSyn,news,0.37984335,0.0025288616385326,20,2
TabSyn,shoppers,0.4770081999999999,0.0063471451485563,20,4
TVAE,adult,0.1074562,0.0010584934477583,20,8
TVAE,beijing,0.0519688499999999,0.0007324422933978,20,11
TVAE,default,0.31423125,0.0023426172919014,20,5
TVAE,diabetes,0.02539,0.0003791583477012,20,8
TVAE,magic,0.3697994999999999,0.0044202297689742,20,9
TVAE,news,0.28972435,0.0020734653240409,20,6
TVAE,shoppers,0.26026495,0.0037008862306352,20,7
