method,dataset,mean,std,rank
CTGAN,adult,0.4691087497312735,0.0034878993123413,11
CTGAN,beijing,0.4902570447832681,0.0024196162054263,8
CTGAN,default,0.4965407407407407,0.002834760562445,3
CTGAN,diabetes,0.5033000868012906,0.0022415943829025,2
CTGAN,magic,0.4950838347841328,0.0043319573789194,3
CTGAN,news,0.4937974719022394,0.0021525328427907,7
CTGAN,shoppers,0.4328061638280616,0.0037026395795377,12
TVAE,adult,0.5137250084456866,0.0030754295385474,7
TVAE,beijing,0.4787246214842606,0.0024300390592684,11
TVAE,default,0.4974666666666668,0.0029895348476234,2
TVAE,diabetes,0.4622004946035801,0.0022269957404632,9
TVAE,magic,0.4927995559969621,0.003238094100986,5
TVAE,news,0.511726786064632,0.0015481976713252,9
TVAE,shoppers,0.5089348472560152,0.0045775519314612,7
GReaT,adult,0.5177313350327079,0.0022890306134312,8
GReaT,beijing,0.5066908810303079,0.0027046811114172,6
GReaT,default,0.5071833333333333,0.002989971325116,4
GReaT,magic,0.5114827364608284,0.0032154139332065,7
GReaT,shoppers,0.451094890510949,0.0057133141853241,11
STaSy,adult,0.5056693590491694,0.0029067661308507,5
STaSy,beijing,0.500838189510657,0.0018497341796679,2
STaSy,default,0.5008777777777778,0.0030789224079202,1
STaSy,diabetes,0.9481026548092828,0.2214410275261454,11
STaSy,magic,0.5097709879067595,0.0041356652997141,6
STaSy,news,0.4938254995935985,0.0032378780590926,6
STaSy,shoppers,0.5013877624583221,0.0061569998229711,2
CoDi,adult,0.5054113817143209,0.003343610162408,4
CoDi,beijing,0.5020063329874139,0.0020982117120346,4
CoDi,default,0.5116981481481482,0.0026217319560186,9
CoDi,diabetes,0.5062071111547847,0.0026606978434187,5
CoDi,magic,0.5169276158205294,0.0044650791259137,9
CoDi,news,0.50113652288461,0.0028031596524524,1
CoDi,shoppers,0.5018338289627827,0.00374852776624,3
TabDDPM,adult,0.4945978317619237,0.0021212513003028,3
TabDDPM,beijing,0.6061693408903435,0.002739018959392,12
TabDDPM,default,0.5975833333333334,0.0030255541727303,12
TabDDPM,diabetes,0.8646587726625068,0.0012643522136081,10
TabDDPM,magic,0.5058509084535843,0.0044160254368417,4
TabDDPM,news,0.0484514700524117,0.0012167171860917,11
TabDDPM,shoppers,0.5236595476254845,0.0038109686098188,10
TabSyn,adult,0.5080602561346397,0.0025323948751221,6
TabSyn,beijing,0.4998070833665948,0.0025368699671344,1
TabSyn,default,0.5088777777777779,0.0028360769755709,6
TabSyn,diabetes,0.5083296483728852,0.0017098379957147,6
TabSyn,magic,0.5026523339370217,0.0035418862149596,1
TabSyn,news,0.4948050674065977,0.0023109592118966,4
TabSyn,shoppers,0.5061818509507076,0.0058763361463862,5
TabDiff,adult,0.5390605325389269,0.0023086384225016,12
TabDiff,beijing,0.5119195870253586,0.0023598944741687,9
TabDiff,default,0.5242574074074074,0.0036149896699792,11
TabDiff,diabetes,0.5244967981788107,0.0019303268383444,8
TabDiff,magic,0.504659110825495,0.002942937267637,2
TabDiff,news,0.509627511981838,0.0022455871599496,8
TabDiff,shoppers,0.5103631612147427,0.0036509376282196,9
SimpleFactors,adult,0.5026518274575766,0.0023518221087515,1
SimpleFactors,beijing,0.4972577750577271,0.0019831038866223,5
SimpleFactors,default,0.5123333333333334,0.0037326951737549,10
SimpleFactors,diabetes,0.5026449827216299,,1
SimpleFactors,magic,0.4796454348946024,0.0048596995606924,11
SimpleFactors,news,0.4940044096901072,0.0021604128983832,5
SimpleFactors,shoppers,0.5032318316989849,0.0022615935031861,4
FullyFactorized,adult,0.5042643039218697,0.0027972361306541,2
FullyFactorized,beijing,0.4980867991804368,0.0026234358203603,3
FullyFactorized,default,0.5106518518518518,0.0041909412021286,8
FullyFactorized,diabetes,0.5045267691904551,0.0025845927231324,3
FullyFactorized,magic,0.4880907869369633,0.0040825235723847,8
FullyFactorized,news,0.4863028672328259,0.0035130438167751,10
FullyFactorized,shoppers,0.5010047760656033,0.0048525713925744,1
ShallowMixture,adult,0.5178342188507725,0.0020185124854576,9
ShallowMixture,beijing,0.509640509832096,0.0029515389086873,7
ShallowMixture,default,0.5098925925925926,0.0028173503507837,7
ShallowMixture,diabetes,0.5057829312632045,0.0023950256963138,4
ShallowMixture,magic,0.5200911374656775,0.0038977223867861,10
ShallowMixture,news,0.4954805347683512,0.0027111687948711,3
ShallowMixture,shoppers,0.5069207894025411,0.0042390707026776,6
TabPC,adult,0.518347102361721,0.0031691949253599,10
TabPC,beijing,0.5178521061174529,0.0029514606272716,10
TabPC,default,0.5081185185185186,0.002588986631803,5
TabPC,diabetes,0.520114151885881,0.0021284401840871,7
TabPC,magic,0.5244493778115324,0.0042176889987217,12
TabPC,news,0.4956501023010735,0.0030978437570056,2
TabPC,shoppers,0.5092367306479227,0.005834592152591,8
GReaT,diabetes,,,12
GReaT,news,,,12
