method,dataset,mean,std,rank
CTGAN,adult,0.6200749999999998,0.0042247235973119,7
CTGAN,beijing,0.640895,0.0059966196618112,9
CTGAN,default,0.487655,0.0039609242674698,9
CTGAN,diabetes,0.4747350000000001,0.0053259320904024,7
CTGAN,magic,0.8410550000000001,0.0062443637744263,9
CTGAN,news,0.7930649999999998,0.0054984471492078,7
CTGAN,shoppers,0.5269800000000001,0.0060284064403892,8
TVAE,adult,0.209525,0.0190001904422588,9
TVAE,beijing,0.3312849999999999,0.0052938171483344,10
TVAE,default,0.66557,0.0031993584883288,7
TVAE,diabetes,0.053835,0.0064950406181623,8
TVAE,magic,0.8413550000000001,0.0059596427833606,8
TVAE,news,0.44191,0.0119424453107393,9
TVAE,shoppers,0.358945,0.0109702696315757,10
GReaT,beijing,0.76827,0.0035114999044492,7
GReaT,default,0.48019,0.0036396789910505,10
GReaT,magic,0.4628899999999999,0.0028889808802267,12
GReaT,shoppers,0.441305,0.003142823906181,9
STaSy,adult,0.4798749999999999,0.0044708264866447,8
STaSy,beijing,0.6746299999999998,0.0026564915524844,8
STaSy,default,0.6404599999999999,0.0029723993498076,8
STaSy,magic,0.57856,0.0034608182786582,11
STaSy,news,0.46541,0.0021528194487572,8
STaSy,shoppers,0.22303,0.0028471777346403,11
CoDi,adult,0.2086,0.0056554584718054,10
CoDi,beijing,0.12023,0.0023253975325114,11
CoDi,default,0.3275550000000001,0.0032495303304356,11
CoDi,diabetes,0.002335,7.451598203705945e-05,9
CoDi,magic,0.731405,0.003259879720093,10
CoDi,news,0.025865,0.0005705721966403,10
CoDi,shoppers,0.208345,0.0030063923125304,12
TabDDPM,adult,0.1252899999999999,0.002669299139238,11
TabDDPM,beijing,0.0270949999999999,0.000940590520001,12
TabDDPM,default,0.0001099999999999,3.077935056255462e-05,12
TabDDPM,magic,0.98932,0.0042490370426102,7
TabDDPM,news,8.500000000000002e-05,5.871429486123999e-05,11
TabDDPM,shoppers,0.85845,0.0053110114013493,7
TabSyn,adult,0.98361,0.004175353751165,6
TabSyn,beijing,0.897415,0.002975739624999,6
TabSyn,default,0.988545,0.006612386701845,5
TabSyn,diabetes,0.6476149999999999,0.0026980060863729,6
TabSyn,magic,0.99879,0.0016140501524849,1
TabSyn,news,0.8230949999999998,0.0043375320414408,6
TabSyn,shoppers,0.98574,0.0082807576566653,5
TabDiff,adult,0.997235,0.0020632817497732,5
TabDiff,beijing,0.978255,0.0035344135224062,5
TabDiff,default,0.96708,0.0045361240120428,6
TabDiff,diabetes,0.9591049999999998,0.0049679472621999,5
TabDiff,magic,0.997945,0.0024833074295128,3
TabDiff,news,0.939715,0.0048678618455507,5
TabDiff,shoppers,0.97871,0.0083512306058196,6
SimpleFactors,adult,0.99952,0.0019242496828907,4
SimpleFactors,beijing,0.99787,0.0038766643284903,2
SimpleFactors,default,0.9957049999999998,0.0043190489937631,2
SimpleFactors,diabetes,1.0,0.0,1
SimpleFactors,magic,0.992935,0.0093215807898152,6
SimpleFactors,news,0.9942300000000002,0.0067793882661459,2
SimpleFactors,shoppers,0.9995,0.0012489995996796,1
FullyFactorized,adult,0.99981,0.0005379297547567,2
FullyFactorized,beijing,0.9977,0.0027036038327037,3
FullyFactorized,default,0.9917549999999998,0.0080878384985697,4
FullyFactorized,diabetes,1.0,0.0,1
FullyFactorized,magic,0.9939049999999998,0.0069565928593332,5
FullyFactorized,news,0.9698800000000002,0.0188452590715459,3
FullyFactorized,shoppers,0.997375,0.0039537956446938,4
ShallowMixture,adult,0.99971,0.0007347752968371,3
ShallowMixture,beijing,0.995915,0.0037336697060243,4
ShallowMixture,default,0.9939749999999998,0.0039540618689087,3
ShallowMixture,diabetes,1.0,0.0,1
ShallowMixture,magic,0.99841,0.0025878054104018,2
ShallowMixture,news,0.967165,0.0075989801947366,4
ShallowMixture,shoppers,0.99825,0.0024108308242508,2
TabPC,adult,0.99988,0.0003533300231556,1
TabPC,beijing,0.99859,0.0018344366695901,1
TabPC,default,0.99862,0.0019422179399634,1
TabPC,diabetes,0.99851,0.0020764088432219,4
TabPC,magic,0.99659,0.0043414647055427,4
TabPC,news,0.995975,0.003117670351569,1
TabPC,shoppers,0.997935,0.0024709416487604,3
GReaT,adult,,,12
GReaT,diabetes,,,10
GReaT,news,,,12
STaSy,diabetes,,,10
TabDDPM,diabetes,,,10
