method,dataset,mean,std,rank
CTGAN,adult,0.8570511846207663,0.0037408421804872,7
CTGAN,beijing,0.9777086704969408,0.0251438990563078,8
CTGAN,default,0.7262584979477686,0.0115242683735421,8
CTGAN,diabetes,0.5957452627201849,0.0061809021055029,5
CTGAN,magic,0.8802943738718302,0.0037970232439462,10
CTGAN,news,0.887069684267044,0.0238052426898354,5
CTGAN,shoppers,0.8581183811603574,0.0090757564503227,9
TVAE,adult,0.8599827070083205,0.0072436925752733,6
TVAE,beijing,1.008891636133194,0.0228619588791221,9
TVAE,default,0.7456309993310246,0.0048931529030242,5
TVAE,diabetes,0.6066379488633091,0.005038120987988,4
TVAE,magic,0.9029322157012268,0.0030484259670789,9
TVAE,news,0.969648689031601,0.0161593183745677,8
TVAE,shoppers,0.9070109346676136,0.0042801160011598,5
GReaT,adult,0.8420115481941354,0.0074098341983572,8
GReaT,beijing,0.6278789073228837,0.0160759236185484,2
GReaT,default,0.7566317810875959,0.0051478011641638,3
GReaT,magic,0.9139289295298124,0.0029097697804968,8
GReaT,shoppers,0.904319670740886,0.0041638610914507,6
STaSy,adult,0.9064683151660606,0.0011065410147304,4
STaSy,beijing,0.6775788396596909,0.0150734329733541,5
STaSy,default,0.7559939008206998,0.0027737679048624,4
STaSy,magic,0.9338232827688062,0.003560703026062,3
STaSy,news,0.8694774746894837,0.0227043579663261,2
STaSy,shoppers,0.9086087318329744,0.0045433660521099,4
CoDi,adult,0.809063332919324,0.0115870164614358,9
CoDi,beijing,0.799804425239563,0.0361161796162257,7
CoDi,default,0.5055536847949793,0.0107793496707797,10
CoDi,diabetes,0.4944665836417018,0.0277887695741494,9
CoDi,magic,0.9318497096923656,0.0029529601884036,5
CoDi,news,1.7561777532100675,0.1421060968087314,9
CoDi,shoppers,0.8457821626578188,0.0156435653425874,10
TabDDPM,adult,0.5068973495771354,0.0490870224493525,11
TabDDPM,beijing,2.598155325651169,0.5979268211285002,12
TabDDPM,default,0.5401051081831565,0.0319413647947223,9
TabDDPM,diabetes,0.4830746794666013,0.0261858863085683,10
TabDDPM,magic,0.933389314483045,0.0020378920334054,4
TabDDPM,shoppers,0.9126876331718486,0.0050032381312341,2
TabSyn,adult,0.9100009592261455,0.0010497256647541,3
TabSyn,beijing,0.6641533553600312,0.0193437544327004,4
TabSyn,default,0.760850920981858,0.0036863717580555,2
TabSyn,diabetes,0.6865223155628104,0.0017998015758656,3
TabSyn,magic,0.9351799672046488,0.0027915330818863,2
TabSyn,news,0.8807338625192642,0.0266040449439979,3
TabSyn,shoppers,0.9124405033233332,0.0045609898341856,3
TabDiff,adult,0.911702303355504,0.0021710553068438,2
TabDiff,beijing,0.5704514652490615,0.0137366301831719,1
TabDiff,default,0.7639622912504314,0.0046332308269344,1
TabDiff,diabetes,0.6925933050649765,0.0015370043250277,1
TabDiff,magic,0.9366125919428168,0.0029856754162843,1
TabDiff,news,0.864515271782875,0.0244973644943242,1
TabDiff,shoppers,0.9174106622284884,0.0058979316923853,1
SimpleFactors,adult,0.5090115064795595,0.0521639414188429,10
SimpleFactors,beijing,1.1957056820392609,0.1032080111039571,11
SimpleFactors,default,0.4876913423913847,0.033198289774711,12
SimpleFactors,diabetes,0.4960219413219332,0.0110476057216934,8
SimpleFactors,magic,0.4962097720011197,0.0432235650281608,11
SimpleFactors,news,2.6375304460525517,0.1524357796419035,10
SimpleFactors,shoppers,0.5272744559168052,0.0692702673543501,11
FullyFactorized,adult,0.4969040218182913,0.0364504770382688,12
FullyFactorized,beijing,1.0919043600559235,0.0439463817792061,10
FullyFactorized,default,0.5010660952207137,0.0228804460504084,11
FullyFactorized,diabetes,0.4992501888010666,0.0092519031796182,7
FullyFactorized,magic,0.4950487224533528,0.0311046712939524,12
FullyFactorized,news,0.9375730007886888,0.0174622884081598,7
FullyFactorized,shoppers,0.4772264212947749,0.0585983217930471,12
ShallowMixture,adult,0.8863593000294197,0.0036284262819688,5
ShallowMixture,beijing,0.7504594564437866,0.0216125994572073,6
ShallowMixture,default,0.7268209819222408,0.0063537515516875,7
ShallowMixture,diabetes,0.5278493879109204,0.009324011832876,6
ShallowMixture,magic,0.9232326949622094,0.0061057008455428,7
ShallowMixture,news,0.9003184199333191,0.0209136582299096,6
ShallowMixture,shoppers,0.8639826465817901,0.0079722192830111,8
TabPC,adult,0.9205218169321868,0.001621981106568,1
TabPC,beijing,0.6630126237869263,0.0175840922571514,3
TabPC,default,0.7434620184549817,0.0044342813000955,6
TabPC,diabetes,0.6897233688055611,0.0024240591100548,2
TabPC,magic,0.9314856336332136,0.0038371379903277,6
TabPC,news,0.8831258744001389,0.0170864097128589,4
TabPC,shoppers,0.8983482715486627,0.0049190822297878,7
GReaT,diabetes,,,11
GReaT,news,,,11
STaSy,diabetes,,,11
TabDDPM,news,,,11
