method,dataset,mean,std,rank
CTGAN,adult,0.0250749710947275,0.0001341117176578,7
CTGAN,beijing,0.0321087276563048,0.0002299059273343,8
CTGAN,default,0.0432733170688152,0.000230559385444,9
CTGAN,diabetes,0.0069411091040819,2.176453254730329e-05,5
CTGAN,magic,0.0368117902427911,0.0006250051894962,10
CTGAN,news,0.0145946107339113,7.507100484228411e-05,7
CTGAN,shoppers,0.0408988021314144,0.0006833803463397,12
TVAE,adult,0.0271447173319757,0.0002440703188767,8
TVAE,beijing,0.0665835205465555,0.0002243760641556,11
TVAE,default,0.0182856780476868,0.0002699135368277,6
TVAE,diabetes,0.0195657729171216,0.0001094338865273,11
TVAE,magic,0.0193696172907948,0.000542734581296,7
TVAE,news,0.0135112110525369,5.729388952640032e-05,6
TVAE,shoppers,0.015321120340377,0.0003634809498827,7
GReaT,adult,0.0111761434935033,0.0001745577988513,6
GReaT,beijing,0.0055022194283083,0.000158409609339,6
GReaT,default,0.0385689506307244,0.0004430739314954,8
GReaT,magic,0.0224425281397998,0.0005186521688992,9
GReaT,shoppers,0.0104671591892838,0.0004956799028983,5
STaSy,adult,0.008490412402898,0.0001929244035453,5
STaSy,beijing,0.0047008698340505,9.886457597801946e-05,4
STaSy,default,0.0142495506443083,0.0002964814837856,5
STaSy,diabetes,0.0092876087874174,1.6573963877345058e-05,9
STaSy,magic,0.0124058457557111,0.0009493842274445,5
STaSy,news,0.0073445989750325,7.581488184711207e-05,4
STaSy,shoppers,0.0086358146741986,0.000206890766398,4
CoDi,adult,0.0346597868949174,7.146073373661525e-05,9
CoDi,beijing,0.0088954478036612,0.000229331713987,7
CoDi,default,0.0370149426162242,0.0002061284169449,7
CoDi,diabetes,0.0072643620194867,9.077739003440314e-06,6
CoDi,magic,0.0201205419376492,0.0007089711125996,8
CoDi,news,0.0097773396875709,0.0003168547962528,5
CoDi,shoppers,0.0207266533747315,0.0004974945663938,8
TabDDPM,adult,0.0404227307066321,4.467354706353259e-05,10
TabDDPM,beijing,0.0760454896837472,0.0003026184530194,12
TabDDPM,default,0.0689752958714962,0.000159815988116,12
TabDDPM,diabetes,0.0172311898320913,0.0010150032728624,10
TabDDPM,magic,0.0030985315446741,0.0004449038334987,2
TabDDPM,news,0.0435416020452976,0.0049798726205929,11
TabDDPM,shoppers,0.0404329184442758,0.0019758632060604,11
TabSyn,adult,0.0047472737031057,0.000173420534395,3
TabSyn,beijing,0.0034236419829539,9.333622969314474e-05,3
TabSyn,default,0.0039580501732416,0.0002889047388567,2
TabSyn,diabetes,0.002591737685725,2.272694279448269e-05,3
TabSyn,magic,0.0029190966160967,0.0003617547690815,1
TabSyn,news,0.0066598282661288,0.0001420298358718,2
TabSyn,shoppers,0.0038448050268925,0.0002092466072412,3
TabDiff,adult,0.003657893592026,0.0002038137789526,2
TabDiff,beijing,0.0021235115709714,0.0001252676589945,1
TabDiff,default,0.0032319687888957,0.0002672114762024,1
TabDiff,diabetes,0.0018732149794232,2.0994070564790084e-05,2
TabDiff,magic,0.0044138384982943,0.0006552649813909,4
TabDiff,news,0.0072149804327636,0.0001167338992244,3
TabDiff,shoppers,0.0036248309537768,0.0002149796472694,2
SimpleFactors,adult,0.0408085748553276,2.0204136517648397e-05,12
SimpleFactors,beijing,0.0363877406343817,2.494777543724181e-05,10
SimpleFactors,default,0.0666125535964965,6.557790321825461e-06,11
SimpleFactors,diabetes,0.0075890187872573,9.589662249952824e-06,7
SimpleFactors,magic,0.1249613240361213,2.34922259121587e-05,12
SimpleFactors,news,0.0211840242147445,3.809523969667904e-06,10
SimpleFactors,shoppers,0.0239424208179116,2.3855269457525365e-05,10
FullyFactorized,adult,0.040610066242516,1.8429196423819693e-05,11
FullyFactorized,beijing,0.0362481620162725,2.4685730683642577e-05,9
FullyFactorized,default,0.066075224801898,2.483307513835327e-05,10
FullyFactorized,diabetes,0.0075910535873845,8.644480204438073e-06,8
FullyFactorized,magic,0.1244398653507232,3.657837692532422e-05,11
FullyFactorized,news,0.0208865001797676,7.345990948628328e-06,9
FullyFactorized,shoppers,0.0229533308185637,5.757955025023542e-05,9
ShallowMixture,adult,0.0079226329224184,0.0001516367787228,4
ShallowMixture,beijing,0.0047893953043967,0.0001312890801427,5
ShallowMixture,default,0.0109759774990379,0.0002910562416073,4
ShallowMixture,diabetes,0.0068747047334909,0.0001960384176477,4
ShallowMixture,magic,0.015242881514132,0.0006329948669482,6
ShallowMixture,news,0.0147844805382192,7.328484361776312e-05,8
ShallowMixture,shoppers,0.0131129700224846,0.0002314706196401,6
TabPC,adult,0.0025084426160901,0.0001380661065853,1
TabPC,beijing,0.0023825887474231,0.0001230697965644,2
TabPC,default,0.0043662335607223,0.0003040234926859,3
TabPC,diabetes,0.0011794958903919,1.903118499643981e-05,1
TabPC,magic,0.0036539887776598,0.0003410535578316,3
TabPC,news,0.0058031855151057,0.000144614153084,1
TabPC,shoppers,0.0027320351218804,0.0001964363355577,1
GReaT,diabetes,,,12
GReaT,news,,,12
