method,dataset,mean,std,rank
CTGAN,adult,0.1573383770883083,0.0006321681418245,8
CTGAN,beijing,0.1324796617031097,0.0008730352429697,9
CTGAN,default,0.1647214837372303,0.0018259740842291,9
CTGAN,diabetes,0.0551479196175932,0.0001525609914774,4
CTGAN,magic,0.0740983117371797,0.0009461978670073,10
CTGAN,news,0.1281181305646896,0.0008174825489753,7
CTGAN,shoppers,0.1019823536276817,0.001502169665871,10
TVAE,adult,0.0904530309140682,0.0004926754865462,7
TVAE,beijing,0.1230887357145547,0.0005441700965791,8
TVAE,default,0.0310409679077565,0.0010806518089405,4
TVAE,diabetes,0.1167477067559957,0.001019029217074,10
TVAE,magic,0.0271751038730144,0.000667555891319,8
TVAE,news,0.1211539261043071,0.0010575691279155,6
TVAE,shoppers,0.0478522641584277,0.0008078879676912,6
GReaT,adult,0.043957644701004,0.0004751515647109,6
GReaT,beijing,0.0164759850129485,0.0010129383678638,6
GReaT,default,0.1302974343299865,0.0013951265405806,8
GReaT,magic,0.0277152209542691,0.0008534148635952,9
GReaT,shoppers,0.042638056538999,0.0021325608947752,5
STaSy,adult,0.0293120388872921,0.000705539425978,4
STaSy,beijing,0.0132165224757045,0.0006085927489323,4
STaSy,default,0.0587444528937339,0.0013131380989924,6
STaSy,diabetes,0.108364950492978,0.0001507836664903,9
STaSy,magic,0.0121627536602318,0.0011748846625359,5
STaSy,news,0.0621355954557657,0.0014022982220396,1
STaSy,shoppers,0.0394652592018246,0.0009854337067434,4
CoDi,adult,0.208539555221796,0.0004952515292441,9
CoDi,beijing,0.0252082947641611,0.0005921933583104,7
CoDi,default,0.1098634332418441,0.0003600859510743,7
CoDi,diabetes,0.0664651162922382,6.849170172297186e-05,5
CoDi,magic,0.0252686537802219,0.0009327972003709,6
CoDi,news,0.0761250950396061,0.0051231796422349,3
CoDi,shoppers,0.0756598278880119,0.0017656436577473,7
TabDDPM,adult,0.2786340698599815,0.0004445760217316,10
TabDDPM,beijing,0.2085416734218597,0.0007699118535284,11
TabDDPM,default,0.1749679341912269,0.0003454105511954,10
TabDDPM,diabetes,0.1299194365739822,0.0044278324637924,11
TabDDPM,magic,0.0038680587313137,0.0006487193179715,2
TabDDPM,news,0.3342616751790047,0.0298514536328664,11
TabDDPM,shoppers,0.0908147033303976,0.0044368528654743,9
TabSyn,adult,0.0111965323332697,0.0006203124444854,2
TabSyn,beijing,0.0092506035231053,0.00037445487189,3
TabSyn,default,0.0132273427210748,0.0009057659900681,3
TabSyn,diabetes,0.0195130245760083,0.0002914405018739,3
TabSyn,magic,0.0036190069746226,0.0007039357171599,1
TabSyn,news,0.0779303073883056,0.0027818517578724,4
TabSyn,shoppers,0.0153888468630611,0.0013152078637724,2
TabDiff,adult,0.0115247482899576,0.0005304912396379,3
TabDiff,beijing,0.0066250061849132,0.0007772973013265,2
TabDiff,default,0.0118149100802838,0.001097242452211,2
TabDiff,diabetes,0.0170199266634881,0.0002538769663719,2
TabDiff,magic,0.0056154254707507,0.000844466718207,3
TabDiff,news,0.0799764942377805,0.0017808278638805,5
TabDiff,shoppers,0.0162412001751363,0.0011109285728122,3
SimpleFactors,adult,0.2824538797140121,0.0001367635468561,12
SimpleFactors,beijing,0.2089806877076626,0.0001077465866642,12
SimpleFactors,default,0.3084546267986298,3.0156445009392102e-05,12
SimpleFactors,diabetes,0.0917972486466169,0.000111705355323,7
SimpleFactors,magic,0.2325461186468601,4.3536090186306446e-05,12
SimpleFactors,news,0.263690610229969,4.716518519880749e-05,10
SimpleFactors,shoppers,0.1396706499159336,0.0001316951555297,12
FullyFactorized,adult,0.281085330247879,0.0001240474003691,11
FullyFactorized,beijing,0.2081743039190769,0.0001573203848544,10
FullyFactorized,default,0.3058766022324562,0.0001218789266661,11
FullyFactorized,diabetes,0.0918567933142185,8.07604792964324e-05,8
FullyFactorized,magic,0.2315819330513477,6.745487347728073e-05,11
FullyFactorized,news,0.2578920826315879,0.0001312194622329,9
FullyFactorized,shoppers,0.1337802551686763,0.0002976492305416,11
ShallowMixture,adult,0.0402311606332659,0.0005995559379006,5
ShallowMixture,beijing,0.0164608991704881,0.0008319138528844,5
ShallowMixture,default,0.0491273067891597,0.0014397704423354,5
ShallowMixture,diabetes,0.0747272040694952,0.0009567048829665,6
ShallowMixture,magic,0.0252741762436926,0.0010003144906163,7
ShallowMixture,news,0.1865491576492786,0.0008947065991911,8
ShallowMixture,shoppers,0.0797543432563543,0.001513926302009,8
TabPC,adult,0.0038373018382117,0.000456827149019,1
TabPC,beijing,0.0056473064352758,0.0007200165344883,1
TabPC,default,0.0091975274030119,0.0012092481779991,1
TabPC,diabetes,0.0039127946598455,0.0002539714048871,1
TabPC,magic,0.0058149356162175,0.0006440320755535,4
TabPC,news,0.0621374165639281,0.0020575442290285,2
TabPC,shoppers,0.0073929011588916,0.0011175033637952,1
GReaT,diabetes,,,12
GReaT,news,,,12
