method,dataset,mean,std,rank
CoDi,adult,11891649.0,0.0,8
CoDi,beijing,11892590.0,0.0,8
CoDi,default,11902142.0,0.0,8
CoDi,diabetes,11903761.0,0.0,6
CoDi,magic,11896473.0,0.0,8
CoDi,news,11942896.0,0.0,8
CoDi,shoppers,11896798.0,0.0,8
CTGAN,adult,9603384.0,0.0,4
CTGAN,beijing,9583890.0,0.0,4
CTGAN,default,9656736.0,0.0,4
CTGAN,diabetes,11791842.0,0.0,5
CTGAN,magic,9557214.0,0.0,4
CTGAN,news,9891690.0,0.0,4
CTGAN,shoppers,9600306.0,0.0,4
STaSy,adult,42582864.0,0.0,10
STaSy,beijing,41455992.0,0.0,10
STaSy,default,41872672.0,0.0,10
STaSy,diabetes,148564672.0,0.0,11
STaSy,magic,38520568.0,0.0,10
STaSy,news,40459224.0,0.0,10
STaSy,shoppers,41206368.0,0.0,10
TabDDPM,adult,11768942.0,0.0,7
TabDDPM,beijing,11713619.0,0.0,7
TabDDPM,default,11734109.0,0.0,7
TabDDPM,diabetes,16088234.0,0.0,8
TabDDPM,magic,11568140.0,0.0,7
TabDDPM,news,11664443.0,0.0,7
TabDDPM,shoppers,11701325.0,0.0,7
TabSyn,adult,10631408.0,0.0,5
TabSyn,beijing,10606308.0,0.0,5
TabSyn,default,10704922.0,0.0,5
TabSyn,diabetes,10849834.0,0.0,4
TabSyn,magic,10596820.0,0.0,5
TabSyn,news,10901142.0,0.0,5
TabSyn,shoppers,10655418.0,0.0,6
TVAE,adult,10653696.0,0.0,6
TVAE,beijing,10634240.0,0.0,6
TVAE,default,10706944.0,0.0,6
TVAE,diabetes,12837888.0,0.0,7
TVAE,magic,10607616.0,0.0,6
TVAE,news,10941440.0,0.0,6
TVAE,shoppers,10650624.0,0.0,5
GReaT,adult,120509952.0,0.0,11
GReaT,beijing,120509952.0,0.0,11
GReaT,default,120509952.0,0.0,11
GReaT,diabetes,120509952.0,0.0,10
GReaT,magic,120509952.0,0.0,12
GReaT,news,120509952.0,0.0,12
GReaT,shoppers,120509952.0,0.0,11
TabDiff,adult,21245993.0,0.0,9
TabDiff,beijing,21196230.0,0.0,9
TabDiff,default,21393298.0,0.0,9
TabDiff,diabetes,21645095.0,0.0,9
TabDiff,magic,21178473.0,0.0,9
TabDiff,news,21786102.0,0.0,9
TabDiff,shoppers,21294576.0,0.0,9
SimpleFactors,adult,,,1
SimpleFactors,beijing,,,1
SimpleFactors,default,,,1
SimpleFactors,diabetes,,,1
SimpleFactors,magic,,,1
SimpleFactors,news,,,1
SimpleFactors,shoppers,,,1
FullyFactorized,adult,,,1
FullyFactorized,beijing,,,1
FullyFactorized,default,,,1
FullyFactorized,diabetes,,,1
FullyFactorized,magic,,,1
FullyFactorized,news,,,1
FullyFactorized,shoppers,,,1
ShallowMixture,adult,135000.0,0.0,3
ShallowMixture,beijing,153000.0,0.0,3
ShallowMixture,default,120000.0,0.0,3
ShallowMixture,diabetes,2304000.0,0.0,3
ShallowMixture,magic,25000.0,0.0,3
ShallowMixture,news,355000.0,0.0,3
ShallowMixture,shoppers,145000.0,0.0,3
TabPC,adult,416540000.0,0.0,12
TabPC,beijing,304608000.0,0.0,12
TabPC,default,196240000.0,0.0,12
TabPC,diabetes,220634000.0,0.0,12
TabPC,magic,60050000.0,0.0,11
TabPC,news,117359000.0,0.0,11
TabPC,shoppers,144288000.0,0.0,12
