method,dataset,mean,std,rank
TVAE,adult,0.9480102062225342,0.027503668527924,3
TVAE,beijing,1.3605291604995728,0.0387861154007044,4
TVAE,default,1.5891616225242615,0.0296635079696134,3
TVAE,diabetes,4.258675944805145,0.1520179580714948,3
TVAE,magic,0.576989209651947,0.0265706967824096,4
TVAE,news,2.9729856133461,0.0729859363779708,1
TVAE,shoppers,0.5721683502197266,0.0152378811823956,3
GReaT,adult,343.95,4.7625181309228015,12
GReaT,beijing,230.25,1.7129537431920892,12
GReaT,default,529.9,1.774082416646034,12
GReaT,magic,101.25,0.4442616583193193,12
GReaT,shoppers,104.5,0.6069769786668839,12
CoDi,adult,9.849790859222413,0.5917591522047989,7
CoDi,beijing,10.356493520736697,0.4766585957796419,9
CoDi,default,8.012700426578522,0.5267280251919116,7
CoDi,diabetes,652.0052448153496,7.311992535453408,10
CoDi,magic,4.08645269870758,0.2327120207791686,9
CoDi,news,9.4417573094368,0.5804010476000437,5
CoDi,shoppers,3.6275364995002746,0.2678539369620835,8
CTGAN,adult,1.5589722394943235,0.0565206247132316,5
CTGAN,beijing,1.9747920274734496,0.0555011161322125,5
CTGAN,default,2.1706793189048765,0.0676485306155688,4
CTGAN,diabetes,6.180374240875244,0.2629651306250035,5
CTGAN,magic,0.9172035574913024,0.0294692394101211,5
CTGAN,news,4.030081629753113,0.4367020870941856,3
CTGAN,shoppers,0.854894471168518,0.0316477310067048,5
STaSy,adult,14.764710354804992,10.59447229490785,9
STaSy,beijing,13.429953706264495,1.5995245780256235,10
STaSy,default,11.429835283756256,2.7720286938582315,9
STaSy,diabetes,2487.837898695469,918.1385927832034,11
STaSy,magic,5.583400452136994,2.107467152984455,10
STaSy,news,13.900148963928222,3.275425866678329,8
STaSy,shoppers,15.32482647895813,37.41005643363743,10
TabDDPM,adult,72.07995857000351,2.9031123152511005,11
TabDDPM,beijing,67.24059149026871,1.7335438673604362,11
TabDDPM,default,54.91736307144165,2.1538241978662374,11
TabDDPM,diabetes,278.7404999017716,5.710922728792981,9
TabDDPM,magic,31.82143619060516,0.7605196770821536,11
TabDDPM,news,64.05866883993149,1.3708917642166074,10
TabDDPM,shoppers,35.00300536155701,1.3535796935354767,11
TabSyn,adult,5.473808193206788,0.3649685324972813,6
TabSyn,beijing,5.8346339702606205,0.3097829690079586,6
TabSyn,default,5.751109826564789,0.5322971318953185,6
TabSyn,diabetes,16.89959787130356,1.7258635414441852,6
TabSyn,magic,2.860827016830444,0.1927497445643271,7
TabSyn,news,12.27205809354782,1.42979240956199,6
TabSyn,shoppers,2.2326006174087523,0.1852162575549838,6
TabDiff,adult,11.141443824768066,0.4417119854204377,8
TabDiff,beijing,8.791410350799561,0.3153775595579654,8
TabDiff,default,9.346101880073547,0.2310185344163489,8
TabDiff,diabetes,195.64547132253648,9.66131362926535,8
TabDiff,magic,3.8301868438720703,0.1188942595583185,8
TabDiff,news,15.724399089813232,0.1775211399830444,9
TabDiff,shoppers,5.576901376247406,0.1600522902788743,9
FullyFactorized,adult,0.6782451391220092,0.0300109938300264,2
FullyFactorized,beijing,0.8649052381515503,0.1582897145099893,2
FullyFactorized,default,1.172143638134003,0.0098034151350387,2
FullyFactorized,diabetes,1.0786455750465394,0.1531680989123733,2
FullyFactorized,magic,0.4167051434516907,0.1181076659683664,3
FullyFactorized,news,4.396888899803161,0.1673339148401508,4
FullyFactorized,shoppers,0.2921751737594604,0.0236438745293815,2
ShallowMixture,adult,1.2317359566688535,0.0067942938885777,4
ShallowMixture,beijing,1.1617279052734375,0.0023140264793911,3
ShallowMixture,default,2.3525981187820437,0.0150851571211346,5
ShallowMixture,diabetes,5.792440485954285,0.009985639376734,4
ShallowMixture,magic,0.4073012828826904,0.0005538270555302,2
ShallowMixture,news,12.81965593099594,0.1880296432652082,7
ShallowMixture,shoppers,0.6630670189857483,0.0011126437960866,4
TabPC,adult,15.739624869823457,0.0162771595645586,10
TabPC,beijing,7.8155840039253235,0.0148444943046182,7
TabPC,default,17.523571944236757,0.008473669405183,10
TabPC,diabetes,44.38282576799393,0.0148671512425504,7
TabPC,magic,1.1609789609909058,0.0052324935440147,6
TabPC,news,81.16646494865418,0.1138101638426179,11
TabPC,shoppers,2.939183974266052,0.003333080299147,7
SimpleFactors,adult,0.530370008945465,0.0041635273421978,1
SimpleFactors,beijing,0.5995715975761413,0.0041633120901031,1
SimpleFactors,default,0.8221964120864869,0.0066060140390094,1
SimpleFactors,diabetes,0.9945923924446106,0.0097633440227884,1
SimpleFactors,magic,0.313848865032196,0.0026268065798792,1
SimpleFactors,news,3.61507750749588,0.0295074377151022,2
SimpleFactors,shoppers,0.2717302560806274,0.0199150500588954,1
GReaT,diabetes,,,12
GReaT,news,,,12
