method,dataset,mean,std,rank
CTGAN,adult,0.8385433494057308,0.0006187248101757,8
CTGAN,beijing,0.8089139680512314,0.0006781358717763,9
CTGAN,default,0.8348551697530866,0.0007715409776934,8
CTGAN,diabetes,0.8949812609248564,0.0002867130433953,7
CTGAN,magic,0.9506649423486484,0.0009250223961659,8
CTGAN,news,0.8618085918887861,0.0003607705108223,7
CTGAN,shoppers,0.7383371882290509,0.0011033419963963,11
TVAE,adult,0.7555391419182457,0.000515607871836,11
TVAE,beijing,0.7358035532139467,0.0006943673314103,11
TVAE,default,0.9114070216049384,0.0005354861906397,7
TVAE,diabetes,0.7739684655913225,0.0002695271441395,9
TVAE,magic,0.9510977922002052,0.0010257414966966,7
TVAE,news,0.8140190132851257,0.0004445820233583,8
TVAE,shoppers,0.7775379732259969,0.0010271223475555,10
GReaT,adult,0.4250289202720023,0.000277865957719,12
GReaT,beijing,0.9344265275916562,0.000985763566985,7
GReaT,default,0.8043258487656585,0.0013533959669865,10
GReaT,magic,0.8502480256204622,0.0011496401323448,12
GReaT,shoppers,0.8583648733898175,0.0011930140456875,8
STaSy,adult,0.9145525833563668,0.0008987934159752,6
STaSy,beijing,0.8979670578217718,0.0009099053475438,8
STaSy,default,0.9217528549382716,0.0011082344307428,6
STaSy,diabetes,0.3712108093990614,4.4082934123307307e-05,11
STaSy,magic,0.8895260958005597,0.0015763474443486,11
STaSy,news,0.920038865065351,0.000498632157466,6
STaSy,shoppers,0.8438962482352587,0.0015630676318945,9
CoDi,adult,0.7886630222249521,0.0007319748440988,10
CoDi,beijing,0.7612429374772713,0.0005197188691675,10
CoDi,default,0.7491122685185185,0.0011557717351634,11
CoDi,diabetes,0.7869040268096918,0.0002092972838547,8
CoDi,magic,0.8965079904613702,0.0019871166872383,10
CoDi,news,0.698797641236208,0.0003671431183673,10
CoDi,shoppers,0.662160193445676,0.0009108940372145,12
TabDDPM,adult,0.7943781415394694,0.0004650862128753,9
TabDDPM,beijing,0.4919971749909085,0.0011714371557445,12
TabDDPM,default,0.5351137345679012,0.0007639222956577,12
TabDDPM,diabetes,0.679651980386029,0.0001673643014504,10
TabDDPM,magic,0.9884737130019596,0.0009490139384091,5
TabDDPM,news,0.0837692223249904,0.0001313302127364,11
TabDDPM,shoppers,0.9655998117609366,0.0009162781325634,6
TabSyn,adult,0.991685144805135,0.0005025899190437,5
TabSyn,beijing,0.9686690082754582,0.0008859767820842,5
TabSyn,default,0.9898110339506172,0.0004813581950399,4
TabSyn,diabetes,0.9824101677464816,0.0002646241412986,6
TabSyn,magic,0.9908581049143064,0.0011248723333674,4
TabSyn,news,0.9557178534058316,0.0005210244687292,5
TabSyn,shoppers,0.986373444274228,0.0009731809173608,5
TabDiff,adult,0.9937107787434863,0.0004954303474889,4
TabDiff,beijing,0.9895854953300872,0.0007328268215495,4
TabDiff,default,0.987804552469136,0.0008160605329425,5
TabDiff,diabetes,0.9890469253708092,0.0002569556554312,5
TabDiff,magic,0.9917461109901374,0.0008669958820931,2
TabDiff,news,0.975298348935415,0.000360892640895,4
TabDiff,shoppers,0.9864996044977122,0.0013907817288433,4
SimpleFactors,adult,0.9046989752566976,0.0004990362757321,7
SimpleFactors,beijing,0.9374608623151768,0.0004533354082936,6
SimpleFactors,default,0.8346145833333333,0.0005505281777227,9
SimpleFactors,diabetes,0.9937457921735422,0.0001598215681346,4
SimpleFactors,magic,0.9006386526950877,0.0007957564639348,9
SimpleFactors,news,0.8086635345721573,0.0002554786210235,9
SimpleFactors,shoppers,0.8749509376908675,0.0008193177272502,7
FullyFactorized,adult,0.9961085347501611,0.0002810419826601,1
FullyFactorized,beijing,0.9946282696043212,0.0004104514371968,1
FullyFactorized,default,0.9954445216049383,0.0003935388950502,1
FullyFactorized,diabetes,0.996582503497946,0.000159282122798,1
FullyFactorized,magic,0.9935319485678776,0.0005692074654308,1
FullyFactorized,news,0.9855631405495296,0.000286779404019,2
FullyFactorized,shoppers,0.992228380042654,0.0006800956309211,1
ShallowMixture,adult,0.99468044593225,0.0003547912472255,3
ShallowMixture,beijing,0.992184215428009,0.0003951237702716,3
ShallowMixture,default,0.9900479166666668,0.000729278064932,3
ShallowMixture,diabetes,0.9941316396237048,0.0001960849363266,2
ShallowMixture,magic,0.9877203418186064,0.0008199559144847,6
ShallowMixture,news,0.9829366831095792,0.0002745102836815,3
ShallowMixture,shoppers,0.9902518698747408,0.0007246665655066,3
TabPC,adult,0.9957975287409274,0.0004995806657913,2
TabPC,beijing,0.9939548353334576,0.0004943467138779,2
TabPC,default,0.9938805555555554,0.0005145786629804,2
TabPC,diabetes,0.9938371747662762,0.0001913020862656,3
TabPC,magic,0.9913098089618508,0.0012952888683027,3
TabPC,news,0.9885190401449964,0.0002948585483968,1
TabPC,shoppers,0.9906603886936411,0.0011442561710408,2
GReaT,diabetes,,,12
GReaT,news,,,12
