method,dataset,mean,std,rank
CoDi,adult,25634.0,0.0,12
CoDi,beijing,27532.0,0.0,12
CoDi,default,20341.0,0.0,11
CoDi,diabetes,151953.0,0.0,11
CoDi,magic,9750.0,0.0,11
CoDi,news,20607.0,0.0,11
CoDi,shoppers,8196.0,0.0,12
CTGAN,adult,3978.0,0.0,7
CTGAN,beijing,4214.0,0.0,8
CTGAN,default,3640.0,0.0,7
CTGAN,diabetes,13825.0,0.0,8
CTGAN,magic,1881.0,0.0,6
CTGAN,news,8693.0,0.0,9
CTGAN,shoppers,1454.0,0.0,6
STaSy,adult,6353.0,0.0,9
STaSy,beijing,6562.0,0.0,9
STaSy,default,7687.0,0.0,9
STaSy,diabetes,21999.0,0.0,9
STaSy,magic,4834.0,0.0,9
STaSy,news,7162.0,0.0,8
STaSy,shoppers,4205.0,0.0,9
TabSyn,adult,4430.704515918731,0.0,8
TabSyn,beijing,4179.051868400574,0.0,7
TabSyn,default,5225.260014175416,0.0,8
TabSyn,diabetes,9618.0,0.0,7
TabSyn,magic,3426.756117605209,0.0,8
TabSyn,news,5381.587894079209,0.0,7
TabSyn,shoppers,3737.480634103775,0.0,8
TVAE,adult,1379.0,0.0,5
TVAE,beijing,1573.0,0.0,5
TVAE,default,1694.0,0.0,5
TVAE,diabetes,4055.0,0.0,5
TVAE,magic,797.0,0.0,5
TVAE,news,4355.0,0.0,6
TVAE,shoppers,634.0,0.0,5
GReaT,adult,16048.0,0.0,11
GReaT,beijing,13669.0,0.0,10
GReaT,default,25673.0,0.0,12
GReaT,magic,6711.0,0.0,10
GReaT,shoppers,6761.0,0.0,10
TabDiff,adult,11365.0,0.0,10
TabDiff,beijing,14064.0,0.0,11
TabDiff,default,14189.0,0.0,10
TabDiff,diabetes,30289.0,0.0,10
TabDiff,magic,10515.0,0.0,12
TabDiff,news,16842.0,0.0,10
TabDiff,shoppers,7452.0,0.0,11
FullyFactorized,adult,1.4484467506408691,0.0,1
FullyFactorized,beijing,0.9394140243530272,0.0,2
FullyFactorized,default,1.877289772033692,0.0,2
FullyFactorized,diabetes,2.2993528842926025,0.0,2
FullyFactorized,magic,0.4354472160339355,0.0,2
FullyFactorized,news,5.489210367202759,0.0,2
FullyFactorized,shoppers,0.3791687488555908,0.0,1
ShallowMixture,adult,55.57928156852722,0.0,3
ShallowMixture,beijing,60.33745002746582,0.0,3
ShallowMixture,default,39.00226163864136,0.0,3
ShallowMixture,diabetes,152.87184238433838,0.0,3
ShallowMixture,magic,16.167412757873535,0.0,3
ShallowMixture,news,86.05370116233826,0.0,3
ShallowMixture,shoppers,19.601232290267944,0.0,3
TabPC,adult,375.6849551200866,0.0,4
TabPC,beijing,359.30059790611267,0.0,4
TabPC,default,223.6028733253479,0.0,4
TabPC,diabetes,1773.175456285477,0.0,4
TabPC,magic,39.81851506233215,0.0,4
TabPC,news,1511.7391607761383,0.0,4
TabPC,shoppers,72.21353244781494,0.0,4
SimpleFactors,adult,1.727851629257202,0.0,2
SimpleFactors,beijing,0.7564666271209717,0.0,1
SimpleFactors,default,0.901209592819214,0.0,1
SimpleFactors,diabetes,2.112375020980835,0.0,1
SimpleFactors,magic,0.2444474697113037,0.0,1
SimpleFactors,news,3.5614564418792725,0.0,1
SimpleFactors,shoppers,0.6070780754089355,0.0,2
TabDDPM,adult,2912.0,0.0,6
TabDDPM,beijing,2581.0,0.0,6
TabDDPM,default,2843.0,0.0,6
TabDDPM,diabetes,7945.0,0.0,6
TabDDPM,magic,2086.0,0.0,7
TabDDPM,news,2367.0,0.0,5
TabDDPM,shoppers,2625.0,0.0,7
GReaT,diabetes,,,12
GReaT,news,,,12
