method,dataset,mean,std,rank
CTGAN,adult,0.7697037273860906,0.0013156055767696,8
CTGAN,beijing,0.7036427070034843,0.0005609905028251,11
CTGAN,default,0.7192313943032845,0.0152787137811089,10
CTGAN,diabetes,0.8110589884574928,0.0021771222051385,7
CTGAN,magic,0.9388703772986554,0.0037179420068791,9
CTGAN,news,0.9495763954159606,0.0006192951374786,8
CTGAN,shoppers,0.7752324404509134,0.0039628593371283,11
TVAE,adult,0.6520127300639798,0.0041454349996809,9
TVAE,beijing,0.7114469166746283,0.0113430244778768,10
TVAE,default,0.8179331174317743,0.0159807454565352,8
TVAE,diabetes,0.659437118288513,0.0022730997849028,9
TVAE,magic,0.9587870651594452,0.0062630333960844,6
TVAE,news,0.9415963220129766,0.0006724966495106,9
TVAE,shoppers,0.8321818650168566,0.0025345847820061,9
GReaT,adult,0.1909940338511956,0.0020022165240193,12
GReaT,beijing,0.9069148014573828,0.0317121263366907,7
GReaT,default,0.7765264220831837,0.0219508484486256,9
GReaT,magic,0.9035128464142828,0.0065474069308672,10
GReaT,shoppers,0.8887753593087601,0.0059222662440062,7
STaSy,adult,0.8866907237572788,0.0028183591241763,6
STaSy,beijing,0.901659420073879,0.0012442889660491,8
STaSy,default,0.9124817189515227,0.0017797225947343,5
STaSy,diabetes,0.1480401809523809,4.5230598215056856e-05,11
STaSy,magic,0.9547296743306932,0.0038950572580566,7
STaSy,news,0.9729759530669462,0.000767549919407,4
STaSy,shoppers,0.8658279607862559,0.0010990034519947,8
CoDi,adult,0.7801302376764123,0.0024728656866248,7
CoDi,beijing,0.9229116981184428,0.0022373210835799,5
CoDi,default,0.8243439602115445,0.0034211357140504,7
CoDi,diabetes,0.6857162289929607,0.0002970108627435,8
CoDi,magic,0.9447154751330148,0.0036099606884643,8
CoDi,news,0.9584484844572166,0.0008688897894758,6
CoDi,shoppers,0.8080681369988929,0.0013410155558497,10
TabDDPM,adult,0.5843327581926412,0.0003651376797669,11
TabDDPM,beijing,0.4320879197481885,0.0008254005063697,12
TabDDPM,default,0.4882879461316092,0.0006205866463004,11
TabDDPM,diabetes,0.4471295126000565,0.0001225028102195,10
TabDDPM,magic,0.9886013522148712,0.0027667943872054,4
TabDDPM,news,0.7068459410904009,0.0138136888440788,11
TabDDPM,shoppers,0.91042482917682,0.0019832616094909,6
TabSyn,adult,0.981863152823062,0.0018348277114453,3
TabSyn,beijing,0.9504111282878404,0.0012733188147634,4
TabSyn,default,0.976440146111708,0.0065966863202753,1
TabSyn,diabetes,0.959275331755076,0.0008966720869935,5
TabSyn,magic,0.9915250375908566,0.0016507916298507,1
TabSyn,news,0.9759431784990416,0.0003275049406422,3
TabSyn,shoppers,0.9784112873843068,0.001939721905083,3
TabDiff,adult,0.9847389004802454,0.0009602838114577,2
TabDiff,beijing,0.9741400364589378,0.001673324466808,2
TabDiff,default,0.9595279089786224,0.0126201371043821,2
TabDiff,diabetes,0.9710568058880052,0.0008675010933348,2
TabDiff,magic,0.9912552312424102,0.0016050516894806,2
TabDiff,news,0.9824710030125254,0.0001453233361307,1
TabDiff,shoppers,0.9817210461345404,0.0010071680398108,2
SimpleFactors,adult,0.6111899181244552,0.0070833767234898,10
SimpleFactors,beijing,0.7304154785171383,0.0027684627399215,9
SimpleFactors,default,0.4627656127319436,0.0032394984278749,12
SimpleFactors,diabetes,0.918438555994795,0.0022542136633653,6
SimpleFactors,magic,0.7835721614086717,0.0028088001556403,12
SimpleFactors,news,0.9069309896614176,0.0008474193671675,10
SimpleFactors,shoppers,0.6048664384365445,0.0017559416526255,12
FullyFactorized,adult,0.9250400096053804,0.0004529264075359,5
FullyFactorized,beijing,0.9095360826968724,0.000959948562833,6
FullyFactorized,default,0.8874791214123225,0.0012036226670194,6
FullyFactorized,diabetes,0.9683392338212048,0.0014963771923378,4
FullyFactorized,magic,0.8695962152551313,0.0005233396453723,11
FullyFactorized,news,0.9542458831009896,0.000979930254304,7
FullyFactorized,shoppers,0.9368718863605188,0.0015658903108881,5
ShallowMixture,adult,0.9781108115788312,0.0006704469532859,4
ShallowMixture,beijing,0.9721016426517618,0.0023395752093308,3
ShallowMixture,default,0.9477167557716653,0.006776765624213,4
ShallowMixture,diabetes,0.9692076897514764,0.0011524508055077,3
ShallowMixture,magic,0.9897249928922016,0.0017952455513117,3
ShallowMixture,news,0.9623709336301596,0.0002625723516379,5
ShallowMixture,shoppers,0.9677565219834794,0.0007219767268988,4
TabPC,adult,0.9864983992821996,0.0009175418577307,1
TabPC,beijing,0.9748415997653422,0.0031834642442711,1
TabPC,default,0.9542651819159396,0.0193588548934276,3
TabPC,diabetes,0.9784145599442802,0.0020583922543936,1
TabPC,magic,0.9825815390663292,0.0039246678761416,5
TabPC,news,0.9812980522770336,0.0026770403842114,2
TabPC,shoppers,0.982254860209044,0.0016412225527183,1
GReaT,diabetes,,,12
GReaT,news,,,12
