method,dataset,mean,std,rank
CTGAN,adult,0.0,0.0,8
CTGAN,beijing,5e-06,2.23606797749979e-05,10
CTGAN,default,0.0002399999999999,5.026246899500344e-05,9
CTGAN,diabetes,0.0,0.0,7
CTGAN,magic,0.0983949999999999,0.0026573582053571,10
CTGAN,news,0.0,0.0,6
CTGAN,shoppers,0.0,0.0,11
TVAE,adult,0.0,0.0,8
TVAE,beijing,0.0,0.0,11
TVAE,default,0.001895,0.0002305028827311,7
TVAE,diabetes,0.0,0.0,7
TVAE,magic,0.32035,0.0047656114646054,8
TVAE,news,0.0,0.0,6
TVAE,shoppers,0.0,0.0,11
GReaT,beijing,0.6030599999999999,0.0031049027444723,2
GReaT,default,0.24369,0.002620144632408,5
GReaT,magic,0.2717199999999999,0.0025510782034269,9
GReaT,shoppers,0.294895,0.0041216341930176,5
STaSy,adult,0.3804649999999999,0.0041282435413674,5
STaSy,beijing,0.3881949999999999,0.0019285868838144,5
STaSy,default,0.3542899999999999,0.0032034356556672,3
STaSy,magic,0.5443950000000001,0.0050766208197351,6
STaSy,news,0.2028249999999999,0.00283045002931,1
STaSy,shoppers,0.14214,0.0026168281322402,6
CoDi,adult,8.500000000000002e-05,3.663475485325233e-05,7
CoDi,beijing,0.0001349999999999,5.871429486123998e-05,9
CoDi,default,0.0013399999999999,0.0001273205651722,8
CoDi,diabetes,0.0,0.0,7
CoDi,magic,0.408385,0.0040876289614293,7
CoDi,news,0.0,0.0,6
CoDi,shoppers,0.000115,3.663475485325233e-05,9
TabDDPM,adult,0.0,0.0,8
TabDDPM,beijing,0.0,0.0,11
TabDDPM,default,0.0,0.0,11
TabDDPM,magic,0.7437199999999999,0.0074033847166791,4
TabDDPM,news,9.5e-05,2.23606797749979e-05,5
TabDDPM,shoppers,0.601435,0.0095919524931881,4
TabSyn,adult,0.8233,0.0077630026746301,3
TabSyn,beijing,0.47098,0.0050183452923931,4
TabSyn,default,0.4343549999999999,0.0066955189256853,2
TabSyn,diabetes,0.5349099999999999,0.0041963517990097,3
TabSyn,magic,0.77234,0.0079037233064716,2
TabSyn,news,0.02619,0.0013564271955553,4
TabSyn,shoppers,0.6757949999999999,0.0083803953555777,3
TabDiff,adult,0.8410300000000002,0.0081960259946673,2
TabDiff,beijing,0.7656899999999999,0.0057122122177885,1
TabDiff,default,0.58299,0.0085876226720725,1
TabDiff,diabetes,0.703235,0.0079350173282734,2
TabDiff,magic,0.7642049999999999,0.0086284398174994,3
TabDiff,news,0.03447,0.0016846364592991,2
TabDiff,shoppers,0.7238849999999999,0.0117096125604474,2
SimpleFactors,adult,0.0,0.0,8
SimpleFactors,beijing,0.000615,8.127277008872492e-05,8
SimpleFactors,default,0.0,0.0,11
SimpleFactors,diabetes,0.04662,0.000854461972915,6
SimpleFactors,magic,0.00184,0.0001818038271845,12
SimpleFactors,news,0.0,0.0,6
SimpleFactors,shoppers,4.000000000000001e-05,5.0262468995003465e-05,10
FullyFactorized,adult,0.01596,0.0007133316937183,6
FullyFactorized,beijing,0.01537,0.0006131025500208,7
FullyFactorized,default,0.000165,4.8936048492959296e-05,10
FullyFactorized,diabetes,0.050025,0.0013392358386703,5
FullyFactorized,magic,0.00523,0.0003435112807463,11
FullyFactorized,news,0.0,0.0,6
FullyFactorized,shoppers,0.0211799999999999,0.0013535917133005,8
ShallowMixture,adult,0.6051850000000001,0.0058277263780004,4
ShallowMixture,beijing,0.305415,0.0037694443259339,6
ShallowMixture,default,0.052745,0.0020260085207905,6
ShallowMixture,diabetes,0.075485,0.0015974568604668,4
ShallowMixture,magic,0.56105,0.008598500481265,5
ShallowMixture,news,0.0,0.0,6
ShallowMixture,shoppers,0.134395,0.0050692545906931,7
TabPC,adult,0.8808,0.0063503833286702,1
TabPC,beijing,0.48782,0.0057894277510139,3
TabPC,default,0.27077,0.0054983346761111,4
TabPC,diabetes,0.80744,0.0062398043154202,1
TabPC,magic,0.8632350000000001,0.0058889973232872,1
TabPC,news,0.026735,0.0014430504969827,3
TabPC,shoppers,0.7703,0.0158712915270573,1
GReaT,adult,,,12
GReaT,diabetes,,,10
GReaT,news,,,12
STaSy,diabetes,,,10
TabDDPM,diabetes,,,10
